timestamp_ns,trajectory_id,sample_index,control_dt_s,force_raw_n,force_filtered_n,torque_actual_nm,torque_command_prev_nm,torque_command_issued_nm,motor_position_rad,force_reference_n,imu_valid,tension_sensor_valid,saturation_flag,emergency_flag,data_valid_flag,velocity_command_0,velocity_command_1,velocity_command_2,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,policy_action_7,policy_action_8,policy_action_9,policy_action_10,policy_action_11,policy_action_12,policy_action_13,policy_action_14,policy_action_15,policy_action_16,policy_action_17,joint_position_0,joint_position_1,joint_position_2,joint_position_3,joint_position_4,joint_position_5,joint_position_6,joint_position_7,joint_position_8,joint_position_9,joint_position_10,joint_position_11,joint_position_12,joint_position_13,joint_position_14,joint_position_15,joint_position_16,joint_position_17,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_velocity_7,joint_velocity_8,joint_velocity_9,joint_velocity_10,joint_velocity_11,joint_velocity_12,joint_velocity_13,joint_velocity_14,joint_velocity_15,joint_velocity_16,joint_velocity_17,body_gravity_vector_0,body_gravity_vector_1,body_gravity_vector_2,body_angular_velocity_0,body_angular_velocity_1,body_angular_velocity_2,body_linear_acceleration_filtered_0,body_linear_acceleration_filtered_1,body_linear_acceleration_filtered_2
10000000000000,synthetic_50hz_01,0,0.02,79.62579284,81.52515857,8.00000000,8.00000000,11.96021987,0.00100800,105.00000000,1,1,0,0,1,0.00000000,0.00000000,0.00000000,0.00000000,0.03057720,0.06817736,-0.00418726,-0.03857400,-0.07306522,0.00825381,0.04545870,0.07584656,-0.01208239,-0.05103280,-0.07644122,0.01556263,0.05513559,0.07483204,-0.01859419,-0.05764881,-0.07106542,0.00000000,0.15730897,-0.16454826,-0.00305830,0.07537158,-0.32073661,0.00601848,0.17071459,-0.15623857,-0.00878544,0.06461504,-0.32444114,0.01127004,0.17849693,-0.15724310,-0.01339189,0.06004796,-0.31875660,0.10108074,0.20368356,0.14171767,-0.09962364,-0.17962001,-0.09256744,0.09529434,0.15037794,0.04074846,-0.08821766,-0.11680040,0.01224532,0.07859763,0.07985545,-0.06488606,-0.06671159,-0.04060823,0.11565611,0.00591037,-0.00000000,-0.99998253,0.02250000,-0.03343678,0.00000000,0.00000000,0.00000000,0.00000000
10000020000000,synthetic_50hz_01,1,0.02,79.00256696,81.02064025,9.66329235,11.96021987,12.47087028,0.00305213,105.35663341,1,1,0,0,1,0.01736853,0.00000000,0.00127995,0.00213924,0.03595792,0.07356243,-0.00644220,-0.04372528,-0.07758112,0.01055942,0.05023203,0.07936312,-0.01437221,-0.05529056,-0.07885704,0.01777064,0.05875504,0.07607747,-0.02065674,-0.06052559,-0.07110456,0.00218884,0.16271636,-0.15918398,-0.00536236,0.07018799,-0.32523830,0.00837176,0.17552521,-0.15272939,-0.01112052,0.06031574,-0.32685659,0.01352000,0.18216132,-0.15599104,-0.01549222,0.05712373,-0.31880924,0.10671456,0.20402586,0.12506729,-0.10366850,-0.17574165,-0.07141764,0.09763364,0.14239073,0.01570898,-0.08878395,-0.10493461,0.04045257,0.07737458,0.06445318,-0.09544786,-0.06373446,-0.02211354,0.14769134,0.00496149,-0.00044998,-0.99998759,0.02249636,-0.03328870,0.00127995,0.17368531,0.00000000,0.01279945
10000040000000,synthetic_50hz_01,2,0.02,78.55931659,80.52837551,10.84247508,12.47087028,12.97169131,0.00609448,105.70613076,1,1,0,0,1,0.03434066,0.00000000,0.00255956,0.00450250,0.04150992,0.07863701,-0.00887955,-0.04892126,-0.08163285,0.01300061,0.05492219,0.08227518,-0.01674685,-0.05933968,-0.08054547,0.02001027,0.06204638,0.07649360,-0.02269679,-0.06296426,-0.07023639,0.00460169,0.16829476,-0.15413045,-0.00784888,0.06495994,-0.32927551,0.01086070,0.18025246,-0.14982500,-0.01354054,0.05622525,-0.32854434,0.01580173,0.18549748,-0.15556858,-0.01757025,0.05463770,-0.31795428,0.11147803,0.20101658,0.10363409,-0.10663677,-0.16830102,-0.04565279,0.09872112,0.13073327,-0.01364469,-0.08795929,-0.08939642,0.07254880,0.07466156,0.04548223,-0.12936129,-0.05921130,-0.00025677,0.18244423,0.00403915,-0.00089981,-0.99999144,0.02248542,-0.03313410,0.00255956,0.30866955,0.00000000,0.02303574
10000060000000,synthetic_50hz_01,3,0.02,78.64224733,80.15114988,11.73674589,12.97169131,13.43920814,0.01006803,106.04866444,1,1,0,0,1,0.05092602,0.00000000,0.00383853,0.00706798,0.04714085,0.08326250,-0.01147123,-0.05406210,-0.08508462,0.01554376,0.05942472,0.08445372,-0.01916816,-0.06307409,-0.08138797,0.02223993,0.06490501,0.07597577,-0.02467051,-0.06486468,-0.06837316,0.00721677,0.17395185,-0.14952630,-0.01048977,0.05978727,-0.33271248,0.01345169,0.18479187,-0.14765444,-0.01600735,0.05244965,-0.32938585,0.01807364,0.18840078,-0.15608039,-0.01958214,0.05269000,-0.31610395,0.11514472,0.19426527,0.07724743,-0.10831427,-0.15697883,-0.01522292,0.09836107,0.11516662,-0.04724048,-0.08557208,-0.07003411,0.10834191,0.07031601,0.02288248,-0.16631980,-0.05303269,0.02492887,0.21950260,0.00314261,-0.00134934,-0.99999415,0.02246720,-0.03297300,0.00383853,0.41278918,0.00000000,0.03121822
10000080000000,synthetic_50hz_01,4,0.02,79.07901153,79.93672221,12.45178004,13.43920814,13.86134860,0.01489526,106.38440246,1,1,0,0,1,0.06713397,0.00000000,0.00511651,0.00980716,0.05274596,0.08729353,-0.01418264,-0.05903747,-0.08779740,0.01814922,0.06362691,0.08577003,-0.02159255,-0.06638195,-0.08126987,0.02441335,0.06722317,0.07442667,-0.02653031,-0.06612632,-0.06543771,0.01000554,0.17958284,-0.14551689,-0.01325042,0.05478030,-0.33541016,0.01610506,0.18903074,-0.14634640,-0.01847736,0.04910076,-0.32926646,0.02028949,0.19076349,-0.15762378,-0.02148032,0.05138119,-0.31318111,0.11748311,0.18341882,0.04583557,-0.10848837,-0.14150673,0.01981305,0.09636586,0.09551493,-0.08489044,-0.08146508,-0.04676939,0.14752041,0.06421562,-0.00332453,-0.20589729,-0.04511480,0.05332260,0.25833805,0.00227118,-0.00179844,-0.99999580,0.02244171,-0.03280545,0.00511651,0.49231094,0.00000000,0.03775437
10000100000000,synthetic_50hz_01,5,0.02,79.68376186,79.88613014,13.04379883,13.86134860,14.23605476,0.02049712,106.71350861,1,1,0,0,1,0.08297369,0.00000000,0.00639318,0.01268455,0.05820916,0.09058096,-0.01697269,-0.06372808,-0.08963217,0.02077149,0.06740970,0.08609925,-0.02397144,-0.06914786,-0.08008404,0.02648028,0.06889246,0.07175998,-0.02822568,-0.06665086,-0.06136704,0.01293251,0.18507166,-0.14225135,-0.01608975,0.05005833,-0.33722954,0.01877532,0.19285000,-0.14602577,-0.02090200,0.04629400,-0.32807902,0.02239900,0.19247719,-0.16028507,-0.02321425,0.05080956,-0.30912275,0.11826281,0.16817735,0.00944200,-0.10695450,-0.12168267,0.05927329,0.09256264,0.07167982,-0.12627969,-0.07550216,-0.01961041,0.18964539,0.05626492,-0.03302438,-0.24754353,-0.03540553,0.08470706,0.29830488,0.00142415,-0.00224696,-0.99999646,0.02240894,-0.03263146,0.00639318,0.55224587,0.00000000,0.04297020
10000120000000,synthetic_50hz_01,6,0.02,80.36375072,79.98165426,13.54454632,14.23605476,14.56594081,0.02679725,107.03614253,1,1,0,0,1,0.09845407,0.00000000,0.00766821,0.01565774,0.06340462,0.09297532,-0.01979405,-0.06800765,-0.09045363,0.02335969,0.07064998,0.08532413,-0.02625186,-0.07125545,-0.07773469,0.02838718,0.06980658,0.06790413,-0.02970407,-0.06634516,-0.05611585,0.01595527,0.19029249,-0.13987915,-0.01896043,0.04574764,-0.33803532,0.02141160,0.19612655,-0.14680977,-0.02322828,0.04414575,-0.32572776,0.02434863,0.19343559,-0.16413581,-0.02473140,0.05106827,-0.30388358,0.11726150,0.14831064,-0.03175944,-0.10352337,-0.09738632,0.10284106,0.08680061,0.04365430,-0.17095771,-0.06757535,0.01133630,0.23414558,0.04640187,-0.06600006,-0.29058292,-0.02389059,0.11876101,0.33864263,0.00060086,-0.00269475,-0.99999619,0.02236891,-0.03245107,0.00766821,0.59660050,0.00000000,0.04712649
10000140000000,synthetic_50hz_01,7,0.02,81.48959005,80.28324141,13.97353201,14.56594081,14.83978520,0.03372402,107.35245986,1,1,0,0,1,0.11358381,0.00000000,0.00894128,0.01867762,0.06819883,0.09433071,-0.02259361,-0.07174530,-0.09013425,0.02585821,0.07322332,0.08333918,-0.02837731,-0.07259028,-0.07414139,0.03007827,0.06986443,0.06280608,-0.03091207,-0.06512435,-0.04966004,0.01902471,0.19511179,-0.13854620,-0.02180933,0.04197910,-0.33769996,0.02395826,0.19873594,-0.14880391,-0.02539971,0.04277041,-0.32213225,0.02608263,0.19353757,-0.16922906,-0.02597835,0.05224219,-0.29743949,0.11427265,0.12367459,-0.07745167,-0.09802868,-0.06859389,0.15005536,0.07895850,0.01153559,-0.21833289,-0.05761191,0.04585529,0.28031577,0.03460434,-0.10192414,-0.33421703,-0.01059911,0.15505447,0.37848264,-0.00019936,-0.00314167,-0.99999505,0.02232163,-0.03226433,0.00894128,0.62857782,0.00000000,0.05043190
10000160000000,synthetic_50hz_01,8,0.02,82.44546942,80.71568701,14.33735835,14.83978520,15.07270350,0.04121048,107.66261227,1,1,0,0,1,0.12837139,0.00000000,0.01021206,0.02168883,0.07245313,0.09450906,-0.02531307,-0.07480847,-0.08855852,0.02820753,0.07500705,0.08005479,-0.03028874,-0.07304315,-0.06924305,0.03149672,0.06897337,0.05643500,-0.03179664,-0.06291506,-0.04199990,0.02208547,0.19939092,-0.13839057,-0.02457817,0.03888529,-0.33610797,0.02635579,0.20055551,-0.15209778,-0.02735724,0.04227723,-0.31723138,0.02754412,0.19269050,-0.17559565,-0.02690205,0.05440470,-0.28979077,0.10911368,0.09422706,-0.12716433,-0.09033510,-0.03539190,0.20030499,0.06895211,-0.02446363,-0.26767077,-0.04558120,0.08361386,0.32731947,0.02089617,-0.14035346,-0.37753139,0.00439131,0.19304661,0.41685892,-0.00097714,-0.00358756,-0.99999309,0.02226712,-0.03207126,0.01021206,0.65073803,0.00000000,0.05305333
10000180000000,synthetic_50hz_01,9,0.02,83.27545509,81.22764063,14.64620331,15.07270350,15.27567239,0.04919480,107.96674761,1,1,0,0,1,0.14282506,0.00000000,0.01148023,0.02463046,0.07602669,0.09338463,-0.02788994,-0.07706610,-0.08562743,0.03034534,0.07588366,0.07540155,-0.03192587,-0.07251346,-0.06300182,0.03258596,0.06705266,0.04878571,-0.03230658,-0.05965870,-0.03316309,0.02507663,0.20298904,-0.13953799,-0.02720444,0.03659727,-0.33316032,0.02854189,0.20146774,-0.15676082,-0.02904057,0.04276678,-0.31098731,0.02867656,0.19081364,-0.18324076,-0.02745132,0.05761438,-0.28096506,0.10163446,0.06004251,-0.18026731,-0.08034628,0.00201084,0.25282656,0.05674168,-0.06400622,-0.31809671,-0.03150118,0.12415626,0.37419597,0.00535250,-0.18072683,-0.41950700,0.02095050,0.23208696,0.45272344,-0.00173312,-0.00403230,-0.99999037,0.02220540,-0.03187191,0.01148023,0.66512718,0.00000000,0.05512434
