timestamp_ns,trajectory_id,sample_index,control_dt_s,force_raw_n,force_filtered_n,torque_actual_nm,torque_command_prev_nm,torque_command_issued_nm,motor_position_rad,force_reference_n,imu_valid,tension_sensor_valid,saturation_flag,emergency_flag,data_valid_flag,velocity_command_0,velocity_command_1,velocity_command_2,policy_action_0,policy_action_1,policy_action_2,policy_action_3,policy_action_4,policy_action_5,policy_action_6,policy_action_7,policy_action_8,policy_action_9,policy_action_10,policy_action_11,policy_action_12,policy_action_13,policy_action_14,policy_action_15,policy_action_16,policy_action_17,joint_position_0,joint_position_1,joint_position_2,joint_position_3,joint_position_4,joint_position_5,joint_position_6,joint_position_7,joint_position_8,joint_position_9,joint_position_10,joint_position_11,joint_position_12,joint_position_13,joint_position_14,joint_position_15,joint_position_16,joint_position_17,joint_velocity_0,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,joint_velocity_7,joint_velocity_8,joint_velocity_9,joint_velocity_10,joint_velocity_11,joint_velocity_12,joint_velocity_13,joint_velocity_14,joint_velocity_15,joint_velocity_16,joint_velocity_17,body_gravity_vector_0,body_gravity_vector_1,body_gravity_vector_2,body_angular_velocity_0,body_angular_velocity_1,body_angular_velocity_2,body_linear_acceleration_filtered_0,body_linear_acceleration_filtered_1,body_linear_acceleration_filtered_2
10500000000000,synthetic_50hz_06,0,0.02,90.31187536,91.66237507,8.00000000,8.00000000,9.73198562,0.40100800,109.50000000,1,1,0,0,1,0.25000000,0.00000000,0.00000000,0.00000000,0.04756454,0.10605368,-0.00651352,-0.06000401,-0.11365700,0.01283925,0.07071353,0.11798354,-0.01879482,-0.07938435,-0.11890856,0.02420853,0.08576648,0.11640540,-0.02892430,-0.08967593,-0.11054621,0.00000000,0.17429631,-0.12667194,-0.00538456,0.05394157,-0.36132840,0.01060393,0.19596942,-0.11410159,-0.01549788,0.03626348,-0.36690849,0.01991595,0.20912782,-0.11566974,-0.02372199,0.02802085,-0.35823739,0.20259346,0.40823756,0.28404096,-0.19967302,-0.36000763,-0.18553048,0.19099593,0.30139852,0.08167106,-0.17681233,-0.23409995,0.02454297,0.15753114,0.16005216,-0.13004942,-0.13370827,-0.08139000,0.23180648,-0.01158934,-0.00000000,-0.99993284,0.02250000,-0.03343678,0.00000000,2.50000000,0.00000000,0.00000000
10500020000000,synthetic_50hz_06,1,0.02,88.80833349,91.09156676,8.72743396,9.73198562,9.94555965,0.40293422,109.91449346,1,1,0,0,1,0.25153599,0.00160795,0.01254854,0.00405887,0.05558364,0.11138809,-0.01049200,-0.06701506,-0.11699227,0.01662265,0.07651440,0.11922350,-0.02227405,-0.08380780,-0.11801746,0.02728329,0.08868498,0.11340893,-0.03150593,-0.09100533,-0.10553076,0.00410847,0.18234207,-0.12135831,-0.00941217,0.04689822,-0.36464945,0.01443499,0.20180759,-0.11286900,-0.01902236,0.03179850,-0.36601701,0.02303264,0.21209126,-0.11865958,-0.02634141,0.02664399,-0.35323544,0.20219164,0.38100431,0.22456152,-0.19565854,-0.32595954,-0.12202254,0.18348451,0.26151719,0.01596558,-0.16602054,-0.18953519,0.09055167,0.14377012,0.11208880,-0.19445827,-0.11737474,-0.03141083,0.29275855,-0.01142996,-0.00053841,-0.99993453,0.02249636,-0.03328870,0.01254854,2.01535994,0.01607952,0.12548542
10500040000000,synthetic_50hz_06,2,0.02,87.37003491,90.34726039,9.23904675,9.94555965,10.19008159,0.40567783,110.32887567,1,1,0,0,1,0.25307195,0.00321562,0.02499086,0.00810161,0.06303963,0.11551684,-0.01438193,-0.07332808,-0.11904488,0.02024761,0.08150244,0.11914081,-0.02552954,-0.08732705,-0.11580185,0.03007544,0.09063398,0.10912428,-0.03375426,-0.09132790,-0.09930059,0.00820081,0.18982448,-0.11725062,-0.01335126,0.04055313,-0.36668755,0.01810770,0.20683272,-0.11295936,-0.02232323,0.02823788,-0.36380072,0.02586690,0.21408508,-0.12293791,-0.02862771,0.02627406,-0.34701848,0.19952352,0.34923619,0.16197570,-0.18941479,-0.28792441,-0.05651528,0.17384513,0.21831164,-0.05057449,-0.15326344,-0.14240485,0.15620618,0.12826309,0.06239246,-0.25733437,-0.09956486,0.01941874,0.35104349,-0.01127179,-0.00107666,-0.99993589,0.02248542,-0.03313410,0.02499086,1.62764754,0.02894025,0.22481153
10500060000000,synthetic_50hz_06,3,0.02,86.42956727,89.56372176,9.63848138,10.19008159,10.44004106,0.40914205,110.74303545,1,1,0,0,1,0.25460784,0.00482270,0.03722441,0.01208259,0.06984151,0.11837800,-0.01813845,-0.07886316,-0.11977528,0.02367137,0.08561116,0.11771939,-0.02852183,-0.08989094,-0.11226959,0.03255000,0.09157912,0.10358300,-0.03563973,-0.09062704,-0.09191007,0.01223138,0.19665251,-0.11441080,-0.01715699,0.03498621,-0.36740314,0.02157930,0.21097831,-0.11438877,-0.02536102,0.02563280,-0.36026747,0.02838372,0.21507490,-0.12847316,-0.03055136,0.02692764,-0.33964086,0.19458353,0.31321955,0.09693921,-0.18097702,-0.24626779,0.01028527,0.16215286,0.17221601,-0.11721323,-0.13865375,-0.09319916,0.22076187,0.11115719,0.01149534,-0.31794584,-0.08045592,0.07053989,0.40596329,-0.01111488,-0.00161459,-0.99993692,0.02246720,-0.03297300,0.03722441,1.31747691,0.03922306,0.30218467
10500080000000,synthetic_50hz_06,4,0.02,85.15514176,88.68200576,9.97513644,10.44004106,10.70665134,0.41323957,111.15686170,1,1,0,0,1,0.25614362,0.00642892,0.04915370,0.01595603,0.07590395,0.11992285,-0.02171740,-0.08354770,-0.11915810,0.02685264,0.08878273,0.11495796,-0.03121371,-0.09145811,-0.10744354,0.03467488,0.09149672,0.09683146,-0.03713635,-0.08889743,-0.08342770,0.01615441,0.20274083,-0.11288756,-0.02078518,0.03027007,-0.36677086,0.02480848,0.21418657,-0.11715847,-0.02809853,0.02402460,-0.35544012,0.03055102,0.21503704,-0.13521899,-0.03208635,0.02861007,-0.33117110,0.18739172,0.27329515,0.03014984,-0.17040613,-0.20140418,0.07764310,0.14850767,0.12370663,-0.18319755,-0.12232765,-0.04244257,0.28347032,0.09262087,-0.04004514,-0.37557052,-0.06024379,0.12137832,0.45684285,-0.01095928,-0.00215203,-0.99993763,0.02244171,-0.03280545,0.04915370,1.06933935,0.04744064,0.36104071
10500100000000,synthetic_50hz_06,5,0.02,84.25278067,87.79616074,10.28237270,10.70665134,10.97207246,0.41789512,111.57024351,1,1,0,0,1,0.25767926,0.00803399,0.06069326,0.01967649,0.08114840,0.12011670,-0.02507577,-0.08731736,-0.11718281,0.02975210,0.09096892,0.11087050,-0.03357067,-0.09199780,-0.10136173,0.03642138,0.09037434,0.08893066,-0.03822204,-0.08614535,-0.07393568,0.01992445,0.20801091,-0.11271561,-0.02419283,0.02646905,-0.36478018,0.02775594,0.21640923,-0.12125452,-0.03050123,0.02344406,-0.34935671,0.03234010,0.21395908,-0.14311438,-0.03321061,0.03131507,-0.32169139,0.17799425,0.22985575,-0.03765938,-0.15778868,-0.15379375,0.14479969,0.13303399,0.07329781,-0.24776536,-0.10444387,0.00931135,0.34358784,0.07284259,-0.09165205,-0.42950452,-0.03914122,0.17135038,0.50303838,-0.01080503,-0.00268883,-0.99993801,0.02240894,-0.03263146,0.06069326,0.87082788,0.05400317,0.40422810
10500120000000,synthetic_50hz_06,6,0.02,84.16992947,87.07091449,10.57204660,10.97207246,11.20505324,0.42304475,111.98307014,1,1,0,0,1,0.25921473,0.00963761,0.07176977,0.02319944,0.08550422,0.11893966,-0.02817229,-0.09011709,-0.11385426,0.03233292,0.09213184,0.10548638,-0.03556137,-0.09149039,-0.09407729,0.03776458,0.08821123,0.07995590,-0.03887901,-0.08238890,-0.06352935,0.02349697,0.21239209,-0.11391481,-0.02733866,0.02363820,-0.36143595,0.03038482,0.21760841,-0.12664752,-0.03253779,0.02391080,-0.34207036,0.03372604,0.21184024,-0.15208404,-0.03390634,0.03502453,-0.31129708,0.16646363,0.18334310,-0.10572759,-0.14323661,-0.10393832,0.21098219,0.11588000,0.02153694,-0.31015408,-0.08518252,0.06148536,0.40038408,0.05202919,-0.14273500,-0.47907082,-0.01737584,0.21986953,0.54394573,-0.01065219,-0.00322482,-0.99993806,0.02236891,-0.03245107,0.07176977,0.71201694,0.05923876,0.43414761
10500140000000,synthetic_50hz_06,7,0.02,83.80142296,86.41701618,10.83790939,11.20505324,11.42261959,0.42863302,112.39523115,1,1,0,0,1,0.26074998,0.01123950,0.08232359,0.02648175,0.08890962,0.11638727,-0.03096789,-0.09190194,-0.10919294,0.03456121,0.09224468,0.09885053,-0.03715811,-0.08992797,-0.08565821,0.03868373,0.08501859,0.06999632,-0.03909408,-0.07765809,-0.05231641,0.02682884,0.21582258,-0.11648964,-0.03018361,0.02182247,-0.35675865,0.03266126,0.21775730,-0.13329256,-0.03418051,0.02543272,-0.33364906,0.03468808,0.20869173,-0.16203882,-0.03416036,0.03970846,-0.30009585,0.15289862,0.13424424,-0.17327412,-0.12688668,-0.05237672,0.27541191,0.09721654,-0.03100085,-0.36960944,-0.06474360,0.11348464,0.45315096,0.03040407,-0.19269662,-0.52362793,0.00481202,0.26635307,0.57900846,-0.01050080,-0.00375984,-0.99993780,0.02232163,-0.03226433,0.08232359,0.58496606,0.06340993,0.45285627
10500160000000,synthetic_50hz_06,8,0.02,83.62012053,85.85763705,11.08348768,11.42261959,11.62046240,0.43461192,112.80661639,1,1,0,0,1,0.26228498,0.01283938,0.09230935,0.02948227,0.09131265,0.11247091,-0.03342626,-0.09263786,-0.10323521,0.03640655,0.09129227,0.09102319,-0.03833722,-0.08731469,-0.07618693,0.03916261,0.08081979,0.05915416,-0.03885892,-0.07199481,-0.04041595,0.02987891,0.21825044,-0.12042871,-0.03269135,0.02105591,-0.35078466,0.03455481,0.21684073,-0.14112939,-0.03540571,0.02800568,-0.32417526,0.03521001,0.20453692,-0.17287649,-0.03396434,0.04532495,-0.28820682,0.13742381,0.08308704,-0.23950705,-0.10889962,0.00032042,0.33731324,0.07723579,-0.08371863,-0.42539454,-0.04334522,0.16470321,0.50121151,0.00820499,-0.24093931,-0.56257833,0.02717179,0.31022901,0.60772574,-0.01035091,-0.00429372,-0.99993721,0.02226712,-0.03207126,0.09230935,0.48332288,0.06672669,0.46214265
10500180000000,synthetic_50hz_06,9,0.02,83.15746276,85.31760219,11.30901706,11.62046240,11.81298870,0.44093956,113.21711608,1,1,0,0,1,0.26381970,0.01443694,0.10169590,0.03216235,0.09267206,0.10721811,-0.03551431,-0.09230239,-0.09603325,0.03784237,0.08927159,0.08207971,-0.03907943,-0.08366706,-0.06575977,0.03918980,0.07565036,0.04754395,-0.03817032,-0.06545263,-0.02795741,0.03260852,0.21963442,-0.12570450,-0.03482881,0.02136098,-0.34356615,0.03603893,0.21485567,-0.15008266,-0.03619413,0.03161318,-0.31374527,0.03528040,0.19941134,-0.18448252,-0.03331506,0.05182045,-0.27575939,0.12018894,0.03043527,-0.30363218,-0.08945886,0.05355645,0.39592293,0.05614965,-0.13600410,-0.47679904,-0.02122162,0.21453070,0.54392880,-0.01431824,-0.28687227,-0.59537685,0.04944530,0.35094319,0.62965990,-0.01020257,-0.00482632,-0.99993631,0.02220540,-0.03187191,0.10169590,0.40200551,0.06935704,0.46357960
